SECCION,Concepto,Detalle,Valor_DOP,Valor_USD,Notas
=== SUPUESTOS BASE ===,,,,,
Supuesto,Tipo de cambio DOP/USD,Mayo 2026 promedio,59,1,"Fuente: BCRD / Wise / Bloomberg, rango 58.7-59.5"
Supuesto,Inflación anualizada RD,Noviembre 2025 interanual,4.81%,,"Fuente: BCRD vía Diario Libre 2025/11"
Supuesto,Canasta básica nacional (referencia poder adquisitivo),Dic 2025 promedio,48541,823,"Fuente: BCRD - golpea ticket discrecional"
Supuesto,Gasto turista por día RD,Promedio 2025,10086,170.94,"BCRD vía arecoa.com - relevante para Punta Cana / Zona Colonial"
Supuesto,Ticket street food típico RD,Vendedor callejero,100,1.7,"jjstudiophoto / pulsoviajero"
Supuesto,Ticket fast food (McMeal),Benchmark superior,390,6.6,"jjstudiophoto"
Supuesto,Margen bruto objetivo popcorn,Industria,68%,,"Rango 60-72% según gmpopcorn / Webstaurantstore"
Supuesto,Food cost objetivo (COGS/ventas),Industria snack,32%,,"Rango 28-35% según altametrics / theforkmanager"
,,,,,
=== PRECIOS DE VENTA SUGERIDOS (PVP) ===,,,,,
Precio,Cubeta mantequilla pequeña (250g),Single-flavor entrada,200,3.4,"Por debajo de combo cine, sobre street food"
Precio,Cubeta caramelo pequeña (250g),Premium single,250,4.24,"Caramelo cuesta más insumos"
Precio,Cubeta MIXTA mediana (500g) **HERO**,Producto estrella - mantequilla + caramelo,350,5.93,"Diferenciador vs cine - misma cubeta dos sabores"
Precio,Cubeta familiar XL (1kg mixta),Para compartir 2-4 personas,650,11.02,"Compite con Caribbean Cinemas Family Combo PR ($12)"
Precio,Combo cubeta mediana + agua/refresco,Mediano + bebida,420,7.12,"Upsell, no obligatorio"
Precio,Ticket promedio ponderado estimado,Mix de productos,350,5.93,"Asume 50% mediana, 25% pequeña, 20% XL, 5% combo"
,,,,,
=== CAPEX MVP (modelo mínimo viable) ===,,,,,
CAPEX_MVP,Máquina popcorn comercial 8oz (usada),Facebook Marketplace RD / Mercado Libre,35000,593,"Rango RD$25-50K - usada confiable o nueva Vevor/Ventus"
CAPEX_MVP,Carpa pop-up 3x3 + estructura,Branded básico,15000,254,"Generica + vinilo personalizado"
CAPEX_MVP,Mesa plegable y display de cubetas,Acrílico + iluminación LED,8000,136,
CAPEX_MVP,Utensilios (palas, tazas medidoras, balanza),Operación básica,5000,85,
CAPEX_MVP,Termo de mantequilla saborizada,Mantener temperatura,3000,51,
CAPEX_MVP,Cubetas y empaques (stock 500 unidades),Cartón + bolsa kraft + sticker,12000,203,"~RD$24/unidad costo unitario"
CAPEX_MVP,Inventario inicial granos premium butterfly,15kg maíz mariposa,4500,76,"~RD$300/kg importado o local"
